wef_imort,who_alc2000,who_tobt,wdi_exph,ht_region
,0.0099999998,,8.182273864746094,8
15.0,4.5100002,29.700001,5.883105278015137,Region 1
17.20000076293945,0.52999997,,7.207178115844727,Region 3
,9.9799995,33.099998,8.127135276794434,5
99.5,8.3299999,,3.30698299407959,4
,8.5600004,,5.541683197021484,10
30.79999923706055,2.1400001,23.5,6.036863327026367,Region 1
12.69999980926514,7.9299998,25.299999,4.785916328430176,Region 2
4.099999904632568,9.71,16.0,9.422300338745115,5
3.299999952316284,12.32,,11.20547294616699,5
,9.4499998,,7.742364883422852,10
8.199999809265137,1.5700001,30.299999,4.980796337127686,Region 3
33.09999847412109,0.0099999998,21.799999,2.818998575210571,8
14.69999980926514,3.9100001,28.0,4.480149269104004,Region 1
16.89999961853027,8.8199997,7.0,7.469303131103516,10
3.400000095367432,12.6,23.9,10.59475135803223,5
35.70000076293945,0.23,,3.573014736175537,8
32.79999923706055,3.6199999,,6.334827423095703,Region 2
5.699999809265137,4.0300002,39.200001,9.572015762329102,Region 1
41.0,5.7600002,,5.412002563476563,4
12.89999961853027,7.3200002,16.1,8.322834014892578,Region 2
15.69999980926514,6.5799999,,5.788949966430664,10
,0.99000001,,5.05106258392334,9
5.599999904632568,0.97000003,16.4,2.648162841796875,7
10.5,12.03,36.799999,8.442913055419922,Region 1
41.09999847412109,0.69999999,20.0,2.275754690170288,7
66.9000015258789,4.1599998,,7.535565376281738,4
,13.94,27.9,5.687721729278565,Region 1
33.90000152587891,2.1199999,23.0,5.675638675689697,7
61.09999847412109,6.1900001,18.799999,4.103671550750732,4
4.699999809265137,8.1000004,16.200001,10.44958209991455,5
18.89999961853027,5.0700002,12.2,4.759696006774902,4
,1.66,,4.200222015380859,4
8.300000190734863,2.3699999,14.1,3.503350019454956,8
89.4000015258789,0.63999999,,3.621164321899414,4
7.800000190734863,7.1599998,38.900002,7.785857677459717,Region 2
12.10000038146973,5.7800002,25.9,5.548227787017822,6
3.934564113616943,,,,6
15.10000038146973,4.3800001,11.6,7.201298713684082,Region 2
,0.12,15.3,6.747642993927002,4
,3.8199999,18.5,5.151411533355713,4
74.5,1.8200001,,4.32823371887207,4
8.600000381469727,3.45,14.2,9.313112258911133,Region 2
4.0,12.14,36.0,7.803241729736328,Region 1
,4.3699999,36.099998,11.05880069732666,Region 2
2.5,9.04,,7.367611408233643,Region 3
3.099999904632568,12.68,33.400002,7.410911560058594,Region 1
56.20000076293945,1.4,8.8000002,4.594296455383301,4
3.0,9.6400003,18.9,10.80495738983154,5
,5.46,,5.485832691192627,10
22.79999923706055,5.9200001,14.5,4.375777721405029,Region 2
19.10000038146973,3.8199999,9.0,9.161087989807127,Region 2
13.60000038146973,2.52,,6.772402763366699,Region 2
,10.72,,3.804079055786133,4
46.5,1.86,4.6999998,4.884313106536865,4
,0.62,,3.338293075561523,4
2.900000095367432,,33.200001,6.379294395446777,Region 1
,,26.5,4.487498760223389,9
2.400000095367432,8.8000002,21.799999,9.679908752441406,5
3.400000095367432,11.5,28.1,11.53951930999756,5
,0.38,,10.56825637817383,4
42.40000152587891,8.8599997,,3.437471628189087,4
17.79999923706055,6.1300001,30.0,7.416659355163574,Region 1
49.20000076293945,3.4100001,,7.340400695800781,4
3.400000095367432,11.03,30.700001,11.29700088500977,5
48.59999847412109,1.64,6.3000002,3.557291984558106,4
,0.52999997,54.0,10.21295070648193,9
4.099999904632568,7.5300002,43.400002,8.084266662597656,5
,8.4200001,,6.09761381149292,10
26.5,1.88,,6.202301502227783,Region 2
65.19999694824219,0.22,,5.644797801971436,4
29.0,7.6399999,,5.247803688049316,10
56.5,5.6799998,11.8,7.555654048919678,Region 2
19.39999961853027,2.8699999,18.9,8.72268009185791,Region 2
5.300000190734863,10.88,29.6,7.400781154632568,Region 1
1.799999952316284,7.4499998,17.5,8.859166145324707,5
43.79999923706055,3.0699999,12.4,4.685088157653809,8
25.79999923706055,0.090000004,38.5,2.84686017036438,7
15.10000038146973,0.029999999,11.7,6.894922256469727,Region 3
,0.17,,5.538873195648193,Region 3
3.400000095367432,10.75,23.200001,7.783196449279785,5
3.299999952316284,2.6199999,30.4,7.808308124542236,Region 3
3.200000047683716,7.5599999,24.200001,9.247918128967283,5
76.19999694824219,3.1500001,,5.716273784637451,4
14.39999961853027,3.8299999,17.6,5.36152458190918,10
2.200000047683716,7.5500002,22.799999,10.22874450683594,6
16.70000076293945,6.29,26.299999,4.355939865112305,Region 1
16.39999961853027,0.41,38.400002,7.452995777130127,Region 3
48.70000076293945,1.84,13.6,5.720291137695313,4
,3.3499999,,,6
3.299999952316284,9.3299999,27.4,7.373112678527832,6
9.5,0.02,,3.042368412017822,Region 3
23.60000038146973,3.28,26.4,6.483762264251709,Region 1
54.0,5.3899999,34.0,1.865545511245728,7
8.0,1.3200001,37.0,6.3937087059021,Region 3
74.19999694824219,2.3900001,25.4,10.61767673492432,4
7.599999904632568,10.37,35.900002,5.880693435668945,Region 1
53.59999847412109,3.72,14.2,10.03633308410645,4
13.19999980926514,0.0,,4.968935012817383,Region 3
,,,,5
4.400000095367432,15.19,30.1,6.552116870880127,Region 1
1.700000047683716,11.12,24.4,6.937873363494873,5
40.90000152587891,0.87,,3.041355133056641,4
46.0,1.23,16.299999,11.37795639038086,4
7.300000190734863,0.51999998,22.299999,4.169077873229981,7
,1.92,,13.7335205078125,8
79.5999984741211,0.61000001,18.6,6.862166404724121,4
5.800000190734863,8.4899998,25.9,9.749919891357422,5
64.80000305175781,0.0099999998,22.299999,3.772699117660523,4
13.0,3.03,21.9,4.809544563293457,4
13.89999961853027,5.2600002,14.5,6.296421051025391,Region 2
,,,4.337683200836182,5
23.0,,26.799999,4.730341911315918,6
15.10000038146973,9.9899998,23.799999,10.32365608215332,Region 1
5.5,6.5599999,,6.416542530059815,Region 1
26.79999923706055,0.43000001,22.0,5.907778263092041,Region 3
63.09999847412109,1.16,18.799999,6.975581645965576,4
10.0,0.40000001,13.5,3.553939580917358,Region 3
28.29999923706055,7.8400002,23.799999,8.928688049316406,4
,,48.900002,3.32664942741394,9
33.59999847412109,0.27000001,24.6,5.797225952148438,8
3.400000095367432,8.6800003,25.700001,10.89729309082031,5
,0.85000002,,5.023574829101563,9
4.699999809265137,9.0699997,17.6,11.02960968017578,5
20.60000038146973,3.55,,9.040139198303224,Region 2
,0.15000001,8.3999996,5.821299076080322,4
77.80000305175781,8.3000002,8.8999996,3.668798446655273,4
2.200000047683716,6.0599999,24.1,9.719717979431152,5
,1.58,,13.7069149017334,9
,,,17.13572311401367,9
,,,9.021533012390137,9
69.30000305175781,0.039999999,22.6,2.613916397094727,8
15.89999961853027,6.7399998,7.4000001,8.025723457336426,Region 2
,0.88,,4.263570785522461,9
18.79999923706055,5.0300002,19.5,9.81442165374756,Region 2
14.10000038146973,5.3800001,,5.473034858703613,Region 2
23.5,4.52,26.700001,4.709985256195068,7
4.300000190734863,10.71,29.4,6.350246429443359,Region 1
2.900000095367432,9.8800001,22.6,9.501075744628906,5
,3.5699999,,5.593137264251709,4
47.79999923706055,0.5,,1.475303411483765,7
6.300000190734863,1.15,,2.18706226348877,Region 3
10.69999980926514,9.5900002,30.5,5.565009117126465,Region 1
8.899999618530273,10.12,39.5,7.070408344268799,Region 1
38.79999923706055,8.3400002,,7.531550884246826,4
,8.6800003,,5.080365180969238,10
,9.9700003,,6.719041347503662,10
,7.0100002,,8.630239486694336,10
,,,6.129065036773682,5
,5.6900001,,8.353466033935547,4
7.400000095367432,0.090000004,17.1,4.684084892272949,Region 3
45.20000076293945,0.25999999,11.1,4.664971828460693,4
5.699999809265137,9.0900002,42.099998,10.36881160736084,Region 1
11.19999980926514,9.7200003,26.700001,3.369816780090332,4
117.4000015258789,3.78,34.400002,11.0899019241333,4
2.299999952316284,1.83,16.200001,4.922791957855225,7
6.300000190734863,10.6,28.799999,8.054047584533691,Region 1
18.39999961853027,4.0900002,23.700001,7.066778182983398,7
2.5,10.46,20.9,9.23388671875,Region 1
,0.0,,,4
33.29999923706055,7.3800001,18.9,8.796984672546387,4
55.70000076293945,6.5,,6.439471244812012,4
3.799999952316284,9.25,30.299999,9.02988624572754,5
,,,2.738420724868774,4
,,,8.4287748336792,4
18.5,6.3200002,,5.687469959259033,10
55.70000076293945,5.1999998,10.2,9.25193977355957,4
2.299999952316284,7.3000002,21.9,11.92984008789063,5
3.700000047683716,9.6099997,24.1,11.65926837921143,5
14.19999980926514,0.75999999,,3.254531145095825,Region 3
49.0,0.31999999,,6.880884170532227,Region 1
11.39999961853027,6.4099998,21.5,4.122164249420166,7
,1.4400001,,5.24687671661377,4
,0.95999998,30.200001,5.176770687103272,9
18.39999961853027,6.9400001,,5.933197021484375,10
7.199999809265137,1.91,,3.643985748291016,Region 3
13.80000019073486,1.39,,7.003858089447022,Region 3
12.19999980926514,1.45,27.0,5.41495943069458,Region 3
,2.9000001,,2.067386150360107,Region 1
,1.34,,16.5366382598877,9
45.40000152587891,10.22,10.3,7.222136974334717,4
9.199999809265137,8.0600004,30.700001,7.095736026763916,Region 1
6.5,1.13,,6.476374626159668,Region 1
17.89999961853027,0.20999999,23.799999,5.642115116119385,Region 3
4.099999904632568,10.37,20.299999,9.115471839904783,5
37.70000076293945,4.1999998,16.299999,5.580115795135498,4
6.0,8.8199997,18.1,17.14075469970703,5
65.80000305175781,4.6399999,19.1,4.960263252258301,4
6.199999809265137,6.0300002,24.799999,8.581491470336914,Region 2
,2.8299999,13.3,5.838521957397461,Region 1
13.10000038146973,6.4699998,,5.256702423095703,Region 2
,2.1500001,32.0,7.215108871459961,9
46.29999923706055,0.039999999,,5.636990070343018,Region 3
56.40000152587891,2.4100001,15.9,4.986764907836914,4
